symbol,lastPrice,priceChangePercent,quoteVolume,timestamp
TRXETH,7.698e-05,2.19,2156.90130913,2025-10-31 12:48:46.902247
POWRBTC,9.7e-07,-3.96,0.11863039,2025-10-31 12:48:46.902247
POWRETH,2.76e-05,-3.833,0.8598481,2025-10-31 12:48:46.902247
ARKBTC,1.679e-05,-3.947,24.49015188,2025-10-31 12:48:46.902247
ARKETH,0.0,0.0,0.0,2025-10-31 12:48:46.902247
YOYOETH,0.0,0.0,0.0,2025-10-31 12:48:46.902247
XRPBTC,2.26e-05,-2.586,94.37442027,2025-10-31 12:48:46.902247
XRPETH,0.0006465,-1.493,608.81912308,2025-10-31 12:48:46.902247
MODBTC,0.0,0.0,0.0,2025-10-31 12:48:46.902247
MODETH,0.0,0.0,0.0,2025-10-31 12:48:46.902247
ENJBTC,3.7e-07,-5.128,0.0731892,2025-10-31 12:48:46.902247
ENJETH,6.172e-05,-7.369,144.79535101,2025-10-31 12:48:46.902247
STORJBTC,1.5e-06,-2.597,0.12250669,2025-10-31 12:48:46.902247
STORJETH,0.0,0.0,0.0,2025-10-31 12:48:46.902247
BNBUSDT,1094.14,-2.093,547877355.90955,2025-10-31 12:48:46.902247
VENBNB,0.0,0.0,0.0,2025-10-31 12:48:46.902247
YOYOBNB,0.0,0.0,0.0,2025-10-31 12:48:46.902247
POWRBNB,0.0,0.0,0.0,2025-10-31 12:48:46.902247
VENBTC,0.0,0.0,0.0,2025-10-31 12:48:46.902247
VENETH,0.0,0.0,0.0,2025-10-31 12:48:46.902247
KMDBTC,1.5e-07,-65.116,5.5779199,2025-10-31 12:48:46.902247
KMDETH,0.0,0.0,0.0,2025-10-31 12:48:46.902247
NULSBNB,0.0,0.0,0.0,2025-10-31 12:48:46.902247
RCNBTC,0.0,0.0,0.0,2025-10-31 12:48:46.902247
RCNETH,0.0,0.0,0.0,2025-10-31 12:48:46.902247
RCNBNB,0.0,0.0,0.0,2025-10-31 12:48:46.902247
NULSBTC,3e-07,-44.444,4.61244101,2025-10-31 12:48:46.902247
NULSETH,0.0,0.0,0.0,2025-10-31 12:48:46.902247
RDNBTC,0.0,0.0,0.0,2025-10-31 12:48:46.902247
RDNETH,0.0,0.0,0.0,2025-10-31 12:48:46.902247
RDNBNB,0.0,0.0,0.0,2025-10-31 12:48:46.902247
XMRBTC,0.002287,6.521,28.67659046,2025-10-31 12:48:46.902247
XMRETH,0.04032,-18.447,430.88747174,2025-10-31 12:48:46.902247
DLTBNB,0.0,0.0,0.0,2025-10-31 12:48:46.902247
WTCBNB,0.0,0.0,0.0,2025-10-31 12:48:46.902247
DLTBTC,0.0,0.0,0.0,2025-10-31 12:48:46.902247
DLTETH,0.0,0.0,0.0,2025-10-31 12:48:46.902247
AMBBTC,1e-07,-9.091,5.32047182,2025-10-31 12:48:46.902247
AMBETH,0.0,0.0,0.0,2025-10-31 12:48:46.902247
AMBBNB,0.0,0.0,0.0,2025-10-31 12:48:46.902247
BCCETH,0.0,0.0,0.0,2025-10-31 12:48:46.902247
BCCUSDT,0.0,0.0,0.0,2025-10-31 12:48:46.902247
BCCBNB,0.0,0.0,0.0,2025-10-31 12:48:46.902247
BATBTC,1.46e-06,-5.195,1.15111675,2025-10-31 12:48:46.902247
BATETH,0.0001063,5.561,192.001185,2025-10-31 12:48:46.902247
BATBNB,0.0,0.0,0.0,2025-10-31 12:48:46.902247
BCPTBTC,0.0,0.0,0.0,2025-10-31 12:48:46.902247
BCPTETH,0.0,0.0,0.0,2025-10-31 12:48:46.902247
BCPTBNB,0.0,0.0,0.0,2025-10-31 12:48:46.902247
ARNBTC,0.0,0.0,0.0,2025-10-31 12:48:46.902247
ARNETH,0.0,0.0,0.0,2025-10-31 12:48:46.902247
GVTBTC,0.0,0.0,0.0,2025-10-31 12:48:46.902247
GVTETH,0.0,0.0,0.0,2025-10-31 12:48:46.902247
CDTBTC,0.0,0.0,0.0,2025-10-31 12:48:46.902247
CDTETH,0.0,0.0,0.0,2025-10-31 12:48:46.902247
GXSBTC,0.0,0.0,0.0,2025-10-31 12:48:46.902247
GXSETH,0.0,0.0,0.0,2025-10-31 12:48:46.902247
NEOUSDT,4.952,-4.272,5631103.23541,2025-10-31 12:48:46.902247
NEOBNB,0.03836,14.167,929.2547318,2025-10-31 12:48:46.902247
POEBTC,0.0,0.0,0.0,2025-10-31 12:48:46.902247
POEETH,0.0,0.0,0.0,2025-10-31 12:48:46.902247
QSPBTC,0.0,0.0,0.0,2025-10-31 12:48:46.902247
QSPETH,0.0,0.0,0.0,2025-10-31 12:48:46.902247
QSPBNB,0.0,0.0,0.0,2025-10-31 12:48:46.902247
BTSBTC,4.3e-07,-10.417,30.14786729,2025-10-31 12:48:46.902247
BTSETH,0.0,0.0,0.0,2025-10-31 12:48:46.902247
BTSBNB,0.0,0.0,0.0,2025-10-31 12:48:46.902247
XZCBTC,0.0,0.0,0.0,2025-10-31 12:48:46.902247
XZCETH,0.0,0.0,0.0,2025-10-31 12:48:46.902247
XZCBNB,0.0,0.0,0.0,2025-10-31 12:48:46.902247
LSKBTC,1.82e-06,-4.712,0.08645476,2025-10-31 12:48:46.902247
LSKETH,0.0003373,18.351,81.40334598,2025-10-31 12:48:46.902247
LSKBNB,0.0,0.0,0.0,2025-10-31 12:48:46.902247
TNTBTC,0.0,0.0,0.0,2025-10-31 12:48:46.902247
TNTETH,0.0,0.0,0.0,2025-10-31 12:48:46.902247
FUELBTC,0.0,0.0,0.0,2025-10-31 12:48:46.902247
FUELETH,0.0,0.0,0.0,2025-10-31 12:48:46.902247
MANABTC,2.08e-06,-0.952,0.23171284,2025-10-31 12:48:46.902247
MANAETH,5.9e-05,-0.673,4.6008431,2025-10-31 12:48:46.902247
BCDBTC,0.0,0.0,0.0,2025-10-31 12:48:46.902247
BCDETH,0.0,0.0,0.0,2025-10-31 12:48:46.902247
DGDBTC,0.0,0.0,0.0,2025-10-31 12:48:46.902247
DGDETH,0.0,0.0,0.0,2025-10-31 12:48:46.902247
IOTABNB,0.000717,-5.033,1769.934652,2025-10-31 12:48:46.902247
ADXBTC,1.2e-06,7.143,23.18877345,2025-10-31 12:48:46.902247
ADXETH,3.424e-05,8.492,222.80543437,2025-10-31 12:48:46.902247
ADXBNB,0.0,0.0,0.0,2025-10-31 12:48:46.902247
ADABTC,5.59e-06,-3.621,15.32598914,2025-10-31 12:48:46.902247
ADAETH,0.0001599,-2.619,348.58593742,2025-10-31 12:48:46.902247
PPTBTC,0.0,0.0,0.0,2025-10-31 12:48:46.902247
PPTETH,0.0,0.0,0.0,2025-10-31 12:48:46.902247
CMTBTC,0.0,0.0,0.0,2025-10-31 12:48:46.902247
CMTETH,0.0,0.0,0.0,2025-10-31 12:48:46.902247
CMTBNB,0.0,0.0,0.0,2025-10-31 12:48:46.902247
XLMBTC,2.75e-06,-3.169,5.08543152,2025-10-31 12:48:46.902247
XLMETH,7.864e-05,-2.408,57.85665394,2025-10-31 12:48:46.902247
XLMBNB,0.0003036,-15.337,658.7408319,2025-10-31 12:48:46.902247
CNDBTC,0.0,0.0,0.0,2025-10-31 12:48:46.902247
CNDETH,0.0,0.0,0.0,2025-10-31 12:48:46.902247
CNDBNB,0.0,0.0,0.0,2025-10-31 12:48:46.902247
LENDBTC,0.0,0.0,0.0,2025-10-31 12:48:46.902247
LENDETH,0.0,0.0,0.0,2025-10-31 12:48:46.902247
WABIBTC,3e-07,-21.053,22.6707075,2025-10-31 12:48:46.902247
WABIETH,0.0,0.0,0.0,2025-10-31 12:48:46.902247
WABIBNB,0.0,0.0,0.0,2025-10-31 12:48:46.902247
LTCETH,0.02452,-2.194,70.24569249,2025-10-31 12:48:46.902247
LTCUSDT,93.93,-5.044,58806706.41343,2025-10-31 12:48:46.902247
LTCBNB,0.086,-2.935,37.5407003,2025-10-31 12:48:46.902247
TNBBTC,0.0,0.0,0.0,2025-10-31 12:48:46.902247
TNBETH,0.0,0.0,0.0,2025-10-31 12:48:46.902247
WAVESBTC,1.626e-05,-11.774,6.92364106,2025-10-31 12:48:46.902247
WAVESETH,0.000298,-20.533,131.34977152,2025-10-31 12:48:46.902247
WAVESBNB,0.00513,-23.774,1882.3638073,2025-10-31 12:48:46.902247
GTOBTC,7.7e-07,0.0,37.44807469,2025-10-31 12:48:46.902247
GTOETH,0.0,0.0,0.0,2025-10-31 12:48:46.902247
GTOBNB,0.0,0.0,0.0,2025-10-31 12:48:46.902247
ICXBTC,7.5e-07,-2.597,0.07787692,2025-10-31 12:48:46.902247
ICXETH,0.0001179,-18.802,558.2715533,2025-10-31 12:48:46.902247
ICXBNB,0.0,0.0,0.0,2025-10-31 12:48:46.902247
OSTBTC,0.0,0.0,0.0,2025-10-31 12:48:46.902247
OSTETH,0.0,0.0,0.0,2025-10-31 12:48:46.902247
OSTBNB,0.0,0.0,0.0,2025-10-31 12:48:46.902247
ELFBTC,2.74e-06,-7.119,10.79044893,2025-10-31 12:48:46.902247
ELFETH,0.0001433,6.94,246.5831068,2025-10-31 12:48:46.902247
AIONBTC,1.39e-06,0.725,18.067814,2025-10-31 12:48:46.902247
AIONETH,0.0,0.0,0.0,2025-10-31 12:48:46.902247
AIONBNB,0.0,0.0,0.0,2025-10-31 12:48:46.902247
NEBLBTC,1.2e-05,-30.151,17.73650045,2025-10-31 12:48:46.902247
NEBLBNB,0.0,0.0,0.0,2025-10-31 12:48:46.902247
BRDBTC,0.0,0.0,0.0,2025-10-31 12:48:46.902247
BRDETH,0.0,0.0,0.0,2025-10-31 12:48:46.902247
BRDBNB,0.0,0.0,0.0,2025-10-31 12:48:46.902247
MCOBNB,0.0,0.0,0.0,2025-10-31 12:48:46.902247
EDOBTC,0.0,0.0,0.0,2025-10-31 12:48:46.902247
EDOETH,0.0,0.0,0.0,2025-10-31 12:48:46.902247
WINGSBTC,0.0,0.0,0.0,2025-10-31 12:48:46.902247
WINGSETH,0.0,0.0,0.0,2025-10-31 12:48:46.902247
NAVBTC,0.0,0.0,0.0,2025-10-31 12:48:46.902247
NAVETH,0.0,0.0,0.0,2025-10-31 12:48:46.902247
NAVBNB,0.0,0.0,0.0,2025-10-31 12:48:46.902247
LUNBTC,0.0,0.0,0.0,2025-10-31 12:48:46.902247
LUNETH,0.0,0.0,0.0,2025-10-31 12:48:46.902247
TRIGBTC,0.0,0.0,0.0,2025-10-31 12:48:46.902247
